STARNAME,TWOMASS_NAME,Plate,GSC_Name,TYC_Name,HIP_Name,RA_Final,DEC_Final,GSC_B,GSC_V,TWOMASS_J,TWOMASS_H,TWOMASS_K,SP1,SP2,RPM_LOG_g,Teff,log_g,FeH,GSC_B_E,GSC_V_E,TWOMASS_J_E,TWOMASS_H_E,TWOMASS_K_E,Teff_E,log_g_E,FeH_E,Epoch_0,RA_0,DEC_0,RA_TWOMASS,DEC_TWOMASS,GSC_PM_RA,GSC_PM_DEC,GSC_PM_RA_E,GSC_PM_DEC_E,TYC_B,TYC_B_E,TYC_V,TYC_V_E,HIP_PLX,HIP_PLX_E,HIP_SPTYPE
TYC-3658-00903-1_BEAM2,TWOMASS-J00360864+5449343,APG_120-08,GSC-03658-00903,TYC-3658-00903-1,NO_HIP_ID,9.036284,54.826144,10.109,9.492,8.466,8.21,8.164,F8,F8,MainSeq,6012,4.4,0,0.02,0.016,0.019,0.021,0.013,105,0,0,2011.08,9.036284,54.826144,9.036036,54.82621,48,-17.4,1.7,1.7,10.109,0.02,9.492,0.016,9999,9999,NO_HIP_TYPE!
TYC-3658-00955-1_BEAM1,TWOMASS-J00325319+5447018,APG_120-08,GSC-03658-00955,TYC-3658-00955-1,NO_HIP_ID,8.221751,54.783823,11.737,11.03,9.529,9.266,9.15,G5,G5,MainSeq,5470,4.4,0,0.052,0.049,0.02,0.023,0.013,105,0,0,2011.08,8.221751,54.783823,8.221646,54.783855,9.9,-7.5,2.6,2.5,11.737,0.052,11.03,0.049,9999,9999,NO_HIP_TYPE!
TYC-3658-00955-1_BEAM2,TWOMASS-J00325319+5447018,APG_120-08,GSC-03658-00955,TYC-3658-00955-1,NO_HIP_ID,8.221751,54.783823,11.737,11.03,9.529,9.266,9.15,G5,G5,MainSeq,5470,4.4,0,0.052,0.049,0.02,0.023,0.013,105,0,0,2011.08,8.221751,54.783823,8.221646,54.783855,9.9,-7.5,2.6,2.5,11.737,0.052,11.03,0.049,9999,9999,NO_HIP_TYPE!
TYC-3658-00957-1_BEAM1,TWOMASS-J00311215+5503100,APG_120-08,GSC-03658-00957,TYC-3658-00957-1,NO_HIP_ID,7.800704,55.052978,10.783,10.138,8.845,8.576,8.498,G2,G2,MainSeq,5685,4.4,0,0.034,0.027,0.011,0.019,0.011,105,0,0,2011.08,7.800704,55.052978,7.800628,55.052784,11.5,65,2.4,2.3,10.783,0.034,10.138,0.027,9999,9999,NO_HIP_TYPE!
TYC-3658-00957-1_BEAM2,TWOMASS-J00311215+5503100,APG_120-08,GSC-03658-00957,TYC-3658-00957-1,NO_HIP_ID,7.800704,55.052978,10.783,10.138,8.845,8.576,8.498,G2,G2,MainSeq,5685,4.4,0,0.034,0.027,0.011,0.019,0.011,105,0,0,2011.08,7.800704,55.052978,7.800628,55.052784,11.5,65,2.4,2.3,10.783,0.034,10.138,0.027,9999,9999,NO_HIP_TYPE!
TYC-3658-01059-1_BEAM1,TWOMASS-J00265327+5450166,APG_120-08,GSC-03658-01059,TYC-3658-01059-1,NO_HIP_ID,6.722022,54.837975,10.118,8.978,7.033,6.565,6.437,G5,G5,Giant,4907,2.5,0,0.021,0.012,0.011,0.029,0.011,105,0,0,2011.08,6.722022,54.837975,6.721968,54.837959,8.8,-1.7,1.5,1.5,10.118,0.021,8.978,0.012,9999,9999,NO_HIP_TYPE!
TYC-3658-01059-1_BEAM2,TWOMASS-J00265327+5450166,APG_120-08,GSC-03658-01059,TYC-3658-01059-1,NO_HIP_ID,6.722022,54.837975,10.118,8.978,7.033,6.565,6.437,G5,G5,Giant,4907,2.5,0,0.021,0.012,0.011,0.029,0.011,105,0,0,2011.08,6.722022,54.837975,6.721968,54.837959,8.8,-1.7,1.5,1.5,10.118,0.021,8.978,0.012,9999,9999,NO_HIP_TYPE!
TYC-3658-01079-1_BEAM1,TWOMASS-J00282897+5507140,APG_120-08,GSC-03658-01079,TYC-3658-01079-1,NO_HIP_ID,7.120844,55.120533,11.576,10.739,9.796,9.524,9.452,F8,F8,MainSeq,5946,4.4,0,0.057,0.047,0.02,0.019,0.011,105,0,0,2011.08,7.120844,55.120533,7.120745,55.120579,17.2,-12.8,2.3,2.3,11.576,0.057,10.739,0.047,9999,9999,NO_HIP_TYPE!
TYC-3658-01079-1_BEAM2,TWOMASS-J00282897+5507140,APG_120-08,GSC-03658-01079,TYC-3658-01079-1,NO_HIP_ID,7.120844,55.120533,11.576,10.739,9.796,9.524,9.452,F8,F8,MainSeq,5946,4.4,0,0.057,0.047,0.02,0.019,0.011,105,0,0,2011.08,7.120844,55.120533,7.120745,55.120579,17.2,-12.8,2.3,2.3,11.576,0.057,10.739,0.047,9999,9999,NO_HIP_TYPE!
TYC-3658-01081-1_BEAM1,TWOMASS-J00265411+5436149,APG_120-08,GSC-03658-01081,TYC-3658-01081-1,NO_HIP_ID,6.725895,54.604377,11.449,10.586,9.253,8.943,8.861,G5,G5,MainSeq,5532,4.4,0,0.046,0.032,0.017,0.021,0.011,105,0,0,2011.08,6.725895,54.604377,6.725464,54.604156,78.6,70.5,2,2,11.449,0.046,10.586,0.032,9999,9999,NO_HIP_TYPE!
